popsize, maxsubsize, migration, mutation, rec1, rec2, numinds, numindssub, maxrepro, overdom, numgens, parthreduction, parthpenalty, boo
5000 100 50000 10000000 0.5 0.5 1 10 300 0 1000 0.01 0.0033333333333333335 292
5000 100 50000 10000000 0.5 0.5 1 10 300 0 1000 0.01 0.006666666666666667 293
5000 100 50000 10000000 0.5 0.5 1 10 300 0 1000 0.01 0.03 294
5000 100 50000 10000000 0.5 0.5 1 10 300 0 1000 0.01 0.04 295
5000 100 50000 10000000 0.5 0.5 10 1 300 0 1000 0.01 0 296
5000 100 50000 10000000 0.5 0.5 10 1 300 0 1000 0.01 0.0033333333333333335 297
5000 100 50000 10000000 0.5 0.5 10 1 300 0 1000 0.01 0.006666666666666667 298
5000 100 50000 10000000 0.5 0.5 10 1 300 0 1000 0.01 0.03 299
5000 100 50000 10000000 0.5 0.5 10 1 300 0 1000 0.01 0.04 300
5000 100 50000 10000000 0.5 0.5 12 6 300 0 1000 0.01 0 301
5000 100 50000 10000000 0.5 0.5 12 6 300 0 1000 0.01 0.0033333333333333335 302
5000 100 50000 10000000 0.5 0.5 12 6 300 0 1000 0.01 0.006666666666666667 303
5000 100 50000 10000000 0.5 0.5 12 6 300 0 1000 0.01 0.03 304
5000 100 50000 10000000 0.5 0.5 12 6 300 0 1000 0.01 0.04 305
5000 100 50000 10000000 0.5 0.5 24 12 300 0 1000 0.01 0 306
5000 100 50000 10000000 0.5 0.5 24 12 300 0 1000 0.01 0.0033333333333333335 307
5000 100 50000 10000000 0.5 0.5 24 12 300 0 1000 0.01 0.006666666666666667 308
5000 100 50000 10000000 0.5 0.5 24 12 300 0 1000 0.01 0.03 309
5000 100 50000 10000000 0.5 0.5 24 12 300 0 1000 0.01 0.04 310
5000 100 50000 10000000 0.5 0.5 50 25 300 0 1000 0.01 0 311
5000 100 50000 10000000 0.5 0.5 50 25 300 0 1000 0.01 0.0033333333333333335 312
5000 100 50000 10000000 0.5 0.5 50 25 300 0 1000 0.01 0.006666666666666667 313
5000 100 50000 10000000 0.5 0.5 50 25 300 0 1000 0.01 0.03 314
5000 100 50000 10000000 0.5 0.5 50 25 300 0 1000 0.01 0.04 315
5000 100 50000 100000000 0.5 0.5 1 1 300 0 1000 0.01 0 316
5000 100 50000 100000000 0.5 0.5 1 1 300 0 1000 0.01 0.0033333333333333335 317
5000 100 50000 100000000 0.5 0.5 1 1 300 0 1000 0.01 0.006666666666666667 318
5000 100 50000 100000000 0.5 0.5 1 1 300 0 1000 0.01 0.03 319
5000 100 50000 100000000 0.5 0.5 1 1 300 0 1000 0.01 0.04 320
5000 100 50000 100000000 0.5 0.5 1 2 300 0 1000 0.01 0 321
5000 100 50000 100000000 0.5 0.5 1 2 300 0 1000 0.01 0.0033333333333333335 322
